352:[(1.3896801471710205, 'DumpSSIMRetrieveState'), (2.242392063140869, 'DumpSSIMState'), (145.6924021244049, 'FinalState')]
356:[(1.3904151916503906, 'DumpSSIMRetrieveState'), (3.7808470726013184, 'DumpSSIMState'), (148.62576723098755, 'FinalState')]
360:[(1.3907442092895508, 'DumpSSIMRetrieveState'), (5.300080060958862, 'DumpSSIMState'), (132.5609631538391, 'FinalState')]
364:[(1.3910651206970215, 'DumpSSIMRetrieveState'), (2.903907060623169, 'DumpSSIMState'), (141.51214122772217, 'FinalState')]
368:[(1.391418218612671, 'DumpSSIMRetrieveState'), (2.2082622051239014, 'DumpSSIMState'), (130.765456199646, 'FinalState')]
372:[(1.3917481899261475, 'DumpSSIMRetrieveState'), (4.56478214263916, 'DumpSSIMState'), (143.28900718688965, 'FinalState')]
376:[(1.3920981884002686, 'DumpSSIMRetrieveState'), (2.2800090312957764, 'DumpSSIMState'), (124.80113005638123, 'FinalState')]
380:[(1.3924250602722168, 'DumpSSIMRetrieveState'), (2.656405210494995, 'DumpSSIMState'), (148.74801802635193, 'FinalState')]
384:[(1.3927772045135498, 'DumpSSIMRetrieveState'), (1.9609181880950928, 'DumpSSIMState'), (135.47229719161987, 'FinalState')]
388:[(1.3931150436401367, 'DumpSSIMRetrieveState'), (2.634686231613159, 'DumpSSIMState'), (77.95748400688171, 'FinalState')]
392:[(1.3934571743011475, 'DumpSSIMRetrieveState'), (1.802504062652588, 'DumpSSIMState'), (137.0734281539917, 'FinalState')]
396:[(1.3950881958007812, 'DumpSSIMRetrieveState'), (6.584834098815918, 'DumpSSIMState'), (137.55443716049194, 'FinalState')]
400:[(1.3967280387878418, 'DumpSSIMRetrieveState'), (2.0391881465911865, 'DumpSSIMState'), (136.81302404403687, 'FinalState')]
404:[(1.4021570682525635, 'DumpSSIMRetrieveState'), (2.503308057785034, 'DumpSSIMState'), (134.47813415527344, 'FinalState')]
408:[(1.415235996246338, 'DumpSSIMRetrieveState'), (2.240068197250366, 'DumpSSIMState'), (134.6456491947174, 'FinalState')]
412:[(1.41721510887146, 'DumpSSIMRetrieveState'), (2.384981155395508, 'DumpSSIMState'), (148.94662404060364, 'FinalState')]
416:[(1.4177160263061523, 'DumpSSIMRetrieveState'), (2.8301150798797607, 'DumpSSIMState'), (136.7574942111969, 'FinalState')]
420:[(1.4180691242218018, 'DumpSSIMRetrieveState'), (4.769659042358398, 'DumpSSIMState'), (150.35578107833862, 'FinalState')]
424:[(1.4184281826019287, 'DumpSSIMRetrieveState'), (2.0585122108459473, 'DumpSSIMState'), (135.85662412643433, 'FinalState')]
428:[(1.4188041687011719, 'DumpSSIMRetrieveState'), (3.693838119506836, 'DumpSSIMState'), (139.2580530643463, 'FinalState')]
432:[(1.420396089553833, 'DumpSSIMRetrieveState'), (2.058561086654663, 'DumpSSIMState'), (73.846440076828, 'FinalState')]
436:[(1.4207541942596436, 'DumpSSIMRetrieveState'), (2.567378044128418, 'DumpSSIMState'), (137.28220415115356, 'FinalState')]
